"$\alpha$";"$\beta$";"$\epsilon_e$";"$\epsilon_c$";"$d_{p}$";"$\Gamma_{p}(0)$";"$a_v$";"$\tau_c(250.0, 8, BF)$";"$\tau_c(500.0, 8, BF)$";"$\tau_c(750.0, 8, BF)$";"$\tau_c(1000.0, 8, BF)$";"$\tau_c(1250.0, 8, BF)$";"$\tau_c(1500.0, 8, BF)$";"$\tau_c(1750.0, 8, BF)$";"$\tau_c(2000.0, 8, BF)$";"$\tau_c(2250.0, 8, BF)$";"$\tau_c(2500.0, 8, BF)$";"$\tau_c(2750.0, 8, BF)$";"$\tau_c(3000.0, 8, BF)$";"$\tau_c(3250.0, 8, BF)$";"$\tau_c(3500.0, 8, BF)$";"$\tau_c(3750.0, 8, BF)$";"$\tau_c(4000.0, 8, BF)$";"$\tau_c(4250.0, 8, BF)$";"$\tau_c(4500.0, 8, BF)$";"$\tau_c(4750.0, 8, BF)$";"$\tau_c(5000.0, 8, BF)$";"$\tau_c(5250.0, 8, BF)$";"$\tau_c(5500.0, 8, BF)$";"$\tau_c(5750.0, 8, BF)$";"$\tau_c(6000.0, 8, BF)$";"$\tau_c(6250.0, 8, BF)$";"$\tau_c(6283.0, 8, BF)$";"$\tau_c(6293.0, 8, BF)$";"$\tau_c(6533.0, 8, BF)$";"$\tau_c(6716.0, 8, BF)$";"$\tau_c(6966.0, 8, BF)$";"$\tau_c(7216.0, 8, BF)$";"$\tau_c(7466.0, 8, BF)$";"$\tau_c(7716.0, 8, BF)$";"$\tau_c(7966.0, 8, BF)$";"$\tau_c(8216.0, 8, BF)$";"$\tau_c(8466.0, 8, BF)$";"$\tau_c(8716.0, 8, BF)$";"$\tau_c(8760.0, 8, BF)$";"$\tau_c(9010.0, 8, BF)$";"$\tau_c(9247.0, 8, BF)$";"$\tau_c(9257.0, 8, BF)$";"$\tau_c(9497.0, 8, BF)$";"$\tau_c(9747.0, 8, BF)$";"$\tau_c(9997.0, 8, BF)$";"$\tau_c(10247.0, 8, BF)$";"$\tau_c(10497.0, 8, BF)$";"$\tau_c(10747.0, 8, BF)$";"$\tau_c(10997.0, 8, BF)$";"$\tau_c(11247.0, 8, BF)$";"$\tau_c(11497.0, 8, BF)$";"$\tau_c(11747.0, 8, BF)$";"$\tau_c(11997.0, 8, BF)$";"$\tau_c(12247.0, 8, BF)$";"$\tau_c(12497.0, 8, BF)$";"$\tau_c(12747.0, 8, BF)$";"$\tau_c(12997.0, 8, BF)$";"$\tau_c(13247.0, 8, BF)$";"$\tau_c(13497.0, 8, BF)$";"$\tau_c(13747.0, 8, BF)$";"$\tau_c(13997.0, 8, BF)$";"$\tau_c(14247.0, 8, BF)$";"$\tau_c(14497.0, 8, BF)$";"$\tau_c(14747.0, 8, BF)$";"$\tau_c(14997.0, 8, BF)$";"$\tau_c(15247.0, 8, BF)$";"$\tau_c(15497.0, 8, BF)$";"$\tau_c(15747.0, 8, BF)$";"$\tau_c(15997.0, 8, BF)$";"$\tau_c(16247.0, 8, BF)$";"$\tau_c(16497.0, 8, BF)$";"$\tau_c(16747.0, 8, BF)$";"$\tau_c(16997.0, 8, BF)$";"$\tau_c(17247.0, 8, BF)$";"$\tau_c(17497.0, 8, BF)$";"$\tau_c(17520.0, 8, BF)$"
1.0551579111258697e+02;2.2563721039004388e-02;4.2786209621337445e-01;1.9948224913274082e-01;6.7430930921747003e-06;4.0848681761414096e-09;6.1025044648071330e-04;1.3686400000000001e+00;2.8194119999999998e+00;4.2043920000000004e+00;5.5599990000000004e+00;6.9155899999999999e+00;8.2781649999999996e+00;9.6346220000000002e+00;1.0968125000000001e+01;1.2272361999999999e+01;1.3552560000000000e+01;1.4817368999999999e+01;1.6071361000000000e+01;1.7661284999999999e+01;1.9232161000000001e+01;2.0779095000000002e+01;2.2296949999999999e+01;2.3786463000000001e+01;2.5251615000000001e+01;2.6694538999999999e+01;2.8115273999999999e+01;2.9513314999999999e+01;3.0888202000000000e+01;3.2239865000000002e+01;3.3568886999999997e+01;3.4876126999999997e+01;3.5038697999999997e+01;7.4262790000000001e+00;8.7467790000000001e+00;9.7420139999999993e+00;1.1361648000000001e+01;1.2958443000000001e+01;1.4534065999999999e+01;1.6087451000000001e+01;1.7617253999999999e+01;1.9414847000000002e+01;2.1183868000000000e+01;2.2921513999999998e+01;2.3217742999999999e+01;2.4495415999999999e+01;2.5693646999999999e+01;1.3812151000000000e+01;1.5037240000000001e+01;1.6297542000000000e+01;1.7542691999999999e+01;1.8805523000000001e+01;2.0053387000000001e+01;2.1287248000000002e+01;2.2506681000000000e+01;2.3711729999999999e+01;2.4902258000000000e+01;2.6078101000000000e+01;2.7239639000000000e+01;2.8387398000000001e+01;2.9521564000000001e+01;3.0642047000000002e+01;3.1748805999999998e+01;3.2841977999999997e+01;3.3921785999999997e+01;3.4988444000000001e+01;3.6042166999999999e+01;3.7083139000000003e+01;3.8111466000000000e+01;3.9715082000000002e+01;4.1303859000000003e+01;4.2863111000000004e+01;4.4376001000000002e+01;4.5848447999999998e+01;4.7292053000000003e+01;4.8708359999999999e+01;5.0093316000000002e+01;5.1445439999999998e+01;5.2766629000000002e+01;5.4058227000000002e+01;5.5320055000000004e+01;5.5419190000000000e+01
1.0547234414639451e+02;2.3959836440592366e-02;2.5790910789612587e-01;1.3871540255140538e-01;4.7512799600939579e-06;4.5955856730788500e-09;8.3178611938737883e-04;2.2512539999999999e+00;4.5787870000000002e+00;6.7628269999999997e+00;8.8936810000000008e+00;1.1035570000000000e+01;1.3198826000000000e+01;1.5345833000000001e+01;1.8043966999999999e+01;2.0674372000000002e+01;2.3229710000000001e+01;2.5712339000000000e+01;2.8132515999999999e+01;3.0496791000000002e+01;3.2804400999999999e+01;3.5052177999999998e+01;3.7238965000000000e+01;4.0274351000000003e+01;4.3208426000000003e+01;4.6025337000000000e+01;4.8714848000000003e+01;5.1292091999999997e+01;5.3768341999999997e+01;5.6142074000000001e+01;5.8411127000000000e+01;6.0578679999999999e+01;6.0827120999999998e+01;1.1888052999999999e+01;1.3884491000000001e+01;1.5386799999999999e+01;1.7662908000000002e+01;1.9897272999999998e+01;2.2577853999999999e+01;2.5191178000000001e+01;2.7737006000000001e+01;3.0212935999999999e+01;3.2621299999999998e+01;3.4965307000000003e+01;3.5354540000000000e+01;3.7261443999999997e+01;3.9030298000000002e+01;2.1855892999999998e+01;2.3985908999999999e+01;2.6195688000000001e+01;2.8361457999999999e+01;3.0481079999999999e+01;3.2553243999999999e+01;3.4578570999999997e+01;3.6557913999999997e+01;3.8491821999999999e+01;4.0380989999999997e+01;4.2226177000000000e+01;4.4552483000000002e+01;4.6789582000000003e+01;4.8948346000000001e+01;5.1030121999999999e+01;5.3036642000000001e+01;5.4971865000000001e+01;5.6839528999999999e+01;5.8641573999999999e+01;6.0379542000000001e+01;6.2055202999999999e+01;6.3670614000000000e+01;6.5227939000000006e+01;6.6729178000000005e+01;6.8176237999999998e+01;6.9570890000000006e+01;7.0914839999999998e+01;7.2209796999999995e+01;7.3457455999999993e+01;7.4659490000000005e+01;7.5817508000000004e+01;7.6933036999999999e+01;7.8007525000000001e+01;7.9042405000000002e+01;7.9124718999999999e+01
9.5008610807350777e+01;2.3494934603822924e-02;3.7617678319193876e-01;4.5049121846787298e-02;3.6248605114663300e-06;3.2396118000211947e-09;5.2263528019187515e-04;1.1509339999999999e+00;2.3487380000000000e+00;3.4826700000000002e+00;4.6108789999999997e+00;5.7704510000000004e+00;6.9183240000000001e+00;8.0363579999999999e+00;9.1356739999999999e+00;1.0228191000000001e+01;1.1317315000000001e+01;1.2398922000000001e+01;1.3467236000000000e+01;1.4669378999999999e+01;1.5855950999999999e+01;1.7028967000000002e+01;1.8188400000000001e+01;1.9333136000000000e+01;2.0461648000000000e+01;2.1573613000000002e+01;2.2670254000000000e+01;2.3752977000000001e+01;2.4822161000000001e+01;2.5877350000000000e+01;2.6918149000000000e+01;2.7944665000000001e+01;2.8073961000000001e+01;6.5769869999999999e+00;7.7459100000000003e+00;8.6262270000000001e+00;1.0034459000000000e+01;1.1423906000000001e+01;1.2794229000000000e+01;1.4144985999999999e+01;1.5475730000000000e+01;1.6901496000000002e+01;1.8306722000000001e+01;1.9691223999999998e+01;1.9928452000000000e+01;2.0921489999999999e+01;2.1852164999999999e+01;1.1697175000000000e+01;1.2680383000000001e+01;1.3693111000000000e+01;1.4694573999999999e+01;1.5685968000000001e+01;1.6702244000000000e+01;1.7709430000000001e+01;1.8707007000000001e+01;1.9693800000000000e+01;2.0669301999999998e+01;2.1633724000000001e+01;2.2587447000000001e+01;2.3530835000000000e+01;2.4464092999999998e+01;2.5387191999999999e+01;2.6299986000000001e+01;2.7202439999999999e+01;2.8094709000000002e+01;2.8977004999999998e+01;2.9849457000000001e+01;3.0712116999999999e+01;3.1565030000000000e+01;3.2408257999999996e+01;3.3241885000000003e+01;3.4066001000000000e+01;3.4880688999999997e+01;3.5686016000000002e+01;3.6482038000000003e+01;3.7268816000000001e+01;3.8352539999999998e+01;3.9419730999999999e+01;4.0468274999999998e+01;4.1495226000000002e+01;4.2502682000000000e+01;4.2586328999999999e+01
1.0321199700025747e+02;2.4027128645114870e-02;2.4955916606856643e-01;1.8115790879011795e-01;3.1275640961486502e-06;7.0799371930092454e-09;1.0803022404081079e-03;4.0798909999999999e+00;8.2763670000000005e+00;1.2130442000000000e+01;1.5885904999999999e+01;2.0330535000000001e+01;2.4622971000000000e+01;2.8732921999999999e+01;3.2653368000000000e+01;3.6397303999999998e+01;4.0560823999999997e+01;4.5009832000000003e+01;4.9217728999999999e+01;5.3145422000000003e+01;5.6804926999999999e+01;6.0213166000000001e+01;6.3383769000000001e+01;6.6330162999999999e+01;6.9066467000000003e+01;7.1606206999999998e+01;7.3961495999999997e+01;7.6143865000000005e+01;7.8165096000000005e+01;8.0036815000000004e+01;8.1769734000000000e+01;8.3373615000000001e+01;8.3546611999999996e+01;1.8788080999999998e+01;2.2571459000000001e+01;2.5262025999999999e+01;2.8746866000000001e+01;3.2664833000000002e+01;3.6449437000000003e+01;4.0072884000000002e+01;4.3519962000000000e+01;4.7156328999999999e+01;5.1126125000000002e+01;5.4845680000000002e+01;5.5427677000000003e+01;5.8212463999999997e+01;6.0705793000000000e+01;3.7143898000000000e+01;4.0191831000000001e+01;4.3196308000000002e+01;4.6071390000000001e+01;4.8828257000000001e+01;5.1471023000000002e+01;5.3998654999999999e+01;5.6409458000000001e+01;5.8706392999999998e+01;6.0895913000000000e+01;6.2984054999999998e+01;6.4974665000000002e+01;6.6870818000000000e+01;6.7990851000000006e+01;6.9078278999999995e+01;7.0146968999999999e+01;7.1174053000000001e+01;7.2167624000000004e+01;7.3128923999999998e+01;7.4059318000000005e+01;7.4960075000000003e+01;7.5832316000000006e+01;7.6676945000000003e+01;7.7494685000000004e+01;7.8286278999999993e+01;7.9052577999999997e+01;7.9794490999999994e+01;8.0512918999999997e+01;8.1208693999999994e+01;8.1882559000000001e+01;8.2535185999999996e+01;8.3167220000000000e+01;8.3779309999999995e+01;8.4372116000000005e+01;8.4424798999999993e+01
9.7317603646445875e+01;2.4245984194483327e-02;2.7756561937994451e-01;1.1379494449142571e-01;2.8288666677802969e-06;4.3087637736470132e-09;5.0260870371617115e-04;1.3816100000000000e+00;2.8279939999999999e+00;4.2066249999999998e+00;5.5928279999999999e+00;6.9961710000000004e+00;8.3632659999999994e+00;9.6995790000000000e+00;1.1019111000000001e+01;1.2330225000000000e+01;1.3631781000000000e+01;1.5114133000000001e+01;1.6571846000000001e+01;1.8004435000000001e+01;1.9413523999999999e+01;2.0801649999999999e+01;2.2169415999999998e+01;2.3515471999999999e+01;2.4839041000000002e+01;2.6140851000000001e+01;2.7422032000000002e+01;2.8683094000000001e+01;2.9924064000000001e+01;3.1144981000000001e+01;3.2346013999999997e+01;3.3527408999999999e+01;3.3674509999999998e+01;7.1353320000000000e+00;8.5218469999999993e+00;9.5642460000000007e+00;1.1216343999999999e+01;1.2841533000000000e+01;1.4441316000000000e+01;1.6016012000000000e+01;1.7712394000000000e+01;1.9381277999999998e+01;2.1020918999999999e+01;2.2629079000000001e+01;2.2903119000000000e+01;2.4066243000000000e+01;2.5154534999999999e+01;1.3584121000000000e+01;1.4757965000000000e+01;1.5965045999999999e+01;1.7182113999999999e+01;1.8385453999999999e+01;1.9575209999999998e+01;2.0750474000000001e+01;2.1910906000000001e+01;2.3056557999999999e+01;2.4187410000000000e+01;2.5303621000000000e+01;2.6405615000000001e+01;2.7493677999999999e+01;2.8567748999999999e+01;2.9627694000000002e+01;3.0673589000000000e+01;3.1705656000000001e+01;3.2724086999999997e+01;3.3728997999999997e+01;3.4720475999999998e+01;3.5698621000000003e+01;3.6663547000000001e+01;3.7813394000000002e+01;3.8957313999999997e+01;4.0150843999999999e+01;4.1350816000000002e+01;4.2527059999999999e+01;4.3679380999999999e+01;4.4809790000000000e+01;4.5919454999999999e+01;4.7007973000000000e+01;4.8075063999999998e+01;4.9121142999999996e+01;5.0146763000000000e+01;5.0229247000000001e+01
1.0478110712376500e+02;2.2710139548882270e-02;3.1362586691209471e-01;1.9975777431146269e-01;4.7198404645383830e-06;3.3452326974576042e-09;2.3632104132441983e-04;1.0062480000000000e+00;2.0782769999999999e+00;3.1120839999999999e+00;4.1319129999999999e+00;5.1554349999999998e+00;6.1858500000000003e+00;7.2129570000000003e+00;8.2246469999999992e+00;9.2174040000000002e+00;1.0196229000000001e+01;1.1167585000000001e+01;1.2134001000000000e+01;1.3093818000000001e+01;1.4044027000000000e+01;1.5189182000000001e+01;1.6320515000000000e+01;1.7437512999999999e+01;1.8540298000000000e+01;1.9630095000000001e+01;2.0707726000000001e+01;2.1773053000000001e+01;2.2825762999999998e+01;2.3865874999999999e+01;2.4893566000000000e+01;2.5909044999999999e+01;2.6038958000000001e+01;6.3487489999999998e+00;7.3543880000000001e+00;8.1148500000000006e+00;9.4253000000000000e+00;1.0719499000000001e+01;1.1997601000000000e+01;1.3259325000000000e+01;1.4504661000000000e+01;1.5733870000000000e+01;1.7109528999999998e+01;1.8465510999999999e+01;1.8699776000000000e+01;1.9551582000000000e+01;2.0352561999999999e+01;1.0778263000000001e+01;1.1599684000000000e+01;1.2447723000000000e+01;1.3288584999999999e+01;1.4122928000000000e+01;1.4950863000000000e+01;1.5772380000000000e+01;1.6587440999999998e+01;1.7434269000000000e+01;1.8274626000000001e+01;1.9108404000000000e+01;1.9935055999999999e+01;2.0754573000000001e+01;2.1567093000000000e+01;2.2372578000000001e+01;2.3171119000000001e+01;2.3962966000000002e+01;2.4748260999999999e+01;2.5526948999999998e+01;2.6298974000000001e+01;2.7064416000000001e+01;2.7823414000000000e+01;2.8576055000000000e+01;2.9322372000000001e+01;3.0062384999999999e+01;3.0796120999999999e+01;3.1523612000000000e+01;3.2244897999999999e+01;3.2960025999999999e+01;3.3669037000000003e+01;3.4371963999999998e+01;3.5068835000000000e+01;3.5759684999999998e+01;3.6444550999999997e+01;3.6503642999999997e+01
1.0603759723893687e+02;2.3858124959680049e-02;3.0707117713655063e-01;2.6686610080332746e-01;9.1362546944471464e-06;3.8690757905634648e-09;8.7177239720629134e-04;1.2810170000000001e+00;2.6679700000000000e+00;4.0300269999999996e+00;5.3773049999999998e+00;6.7126120000000000e+00;8.0320630000000008e+00;9.3307540000000007e+00;1.0607246999999999e+01;1.1863355000000000e+01;1.3101708000000000e+01;1.4323900000000000e+01;1.5530118000000000e+01;1.6719857999999999e+01;1.7892809000000000e+01;1.9049211000000000e+01;2.0189671000000001e+01;2.1454943000000000e+01;2.2712129000000001e+01;2.3956472000000002e+01;2.5182271000000000e+01;2.6387450000000001e+01;2.7574293000000001e+01;2.8745442000000001e+01;2.9901858000000001e+01;3.1043240999999998e+01;3.1187563000000001e+01;8.0881950000000007e+00;9.3862579999999998e+00;1.0360341999999999e+01;1.1979278000000001e+01;1.3568527000000000e+01;1.5129327999999999e+01;1.6662348000000001e+01;1.8168012999999998e+01;1.9646815000000000e+01;2.1148347999999999e+01;2.2629049999999999e+01;2.2884049000000001e+01;2.3944334000000001e+01;2.4942553000000000e+01;1.3377193000000000e+01;1.4393222000000000e+01;1.5438850000000000e+01;1.6471830000000001e+01;1.7491143000000001e+01;1.8497136999999999e+01;1.9491015000000001e+01;2.0473559000000002e+01;2.1445056999999998e+01;2.2414936999999998e+01;2.3379159999999999e+01;2.4339407999999999e+01;2.5294824999999999e+01;2.6243798000000002e+01;2.7185562999999998e+01;2.8120190999999998e+01;2.9048158999999998e+01;2.9969805999999998e+01;3.0885058000000001e+01;3.1793599000000000e+01;3.2695099999999996e+01;3.3589325000000002e+01;3.4476117000000002e+01;3.5355347000000002e+01;3.6226877999999999e+01;3.7090569000000002e+01;3.7946289000000000e+01;3.8793937000000000e+01;3.9633437000000001e+01;4.0464731999999998e+01;4.1287776999999998e+01;4.2102530000000002e+01;4.2908959000000003e+01;4.3707044000000003e+01;4.3774067000000002e+01
9.9053761825031486e+01;2.3979568593416833e-02;2.4001849142890980e-01;2.4332826305608812e-01;5.4747162216794260e-06;4.2693608200567204e-09;5.5688076326872095e-04;1.6398140000000001e+00;3.3565710000000002e+00;4.9833100000000004e+00;6.5744619999999996e+00;8.1701259999999998e+00;9.7776999999999994e+00;1.1375377000000000e+01;1.2937381999999999e+01;1.4455954000000000e+01;1.6336001000000000e+01;1.8176836999999999e+01;1.9980712000000000e+01;2.1749002000000001e+01;2.3483574999999998e+01;2.5185039000000000e+01;2.6852585999999999e+01;2.8486038000000001e+01;3.0086390000000002e+01;3.1654640000000001e+01;3.3191288000000000e+01;3.4696683999999998e+01;3.6171228999999997e+01;3.7615347999999997e+01;3.9641883999999997e+01;4.1620863000000000e+01;4.1860416999999998e+01;8.3328260000000007e+00;9.8622669999999992e+00;1.1014308000000000e+01;1.2853628000000000e+01;1.4663700000000000e+01;1.6445295999999999e+01;1.8510020000000001e+01;2.0532630000000001e+01;2.2511320000000001e+01;2.4443866000000000e+01;2.6332015999999999e+01;2.6651865000000001e+01;2.8062078000000000e+01;2.9379300000000001e+01;1.6056913999999999e+01;1.7513642000000001e+01;1.9026259000000000e+01;2.0516224999999999e+01;2.1984037000000001e+01;2.3429375000000000e+01;2.4852364999999999e+01;2.6253371999999999e+01;2.7632460999999999e+01;2.8989687000000000e+01;3.0325319000000000e+01;3.1639693999999999e+01;3.2933022999999999e+01;3.4205432999999999e+01;3.5457092000000003e+01;3.6688231000000002e+01;3.7899093000000001e+01;3.9750165000000003e+01;4.1565528000000000e+01;4.3332281000000002e+01;4.5038680999999997e+01;4.6694262000000002e+01;4.8308477000000003e+01;4.9880586000000001e+01;5.1406798000000002e+01;5.2887400999999997e+01;5.4325263000000000e+01;5.5721825000000003e+01;5.7077143999999997e+01;5.8391804000000000e+01;5.9667243999999997e+01;6.0904750999999997e+01;6.2105024000000000e+01;6.3268681999999998e+01;6.3357672000000001e+01
1.0799767646233360e+02;2.3388508727227218e-02;4.2928320999258107e-01;1.7186719937145731e-01;6.8911728580611124e-06;6.3087773257087757e-09;9.9125451060702000e-04;2.5198589999999998e+00;5.1895379999999998e+00;7.7089390000000000e+00;1.0134926999999999e+01;1.2523860000000001e+01;1.4899782999999999e+01;1.7249003999999999e+01;2.0113738000000001e+01;2.2914634000000000e+01;2.5636925999999999e+01;2.8273422000000000e+01;3.0830387999999999e+01;3.3318368999999997e+01;3.5741833000000000e+01;3.8099902000000000e+01;4.0390900999999999e+01;4.3885212000000003e+01;4.7261887000000002e+01;5.0487524000000001e+01;5.3530164999999997e+01;5.6407837000000001e+01;5.9147803000000003e+01;6.1755243000000000e+01;6.4227187999999998e+01;6.6566169000000002e+01;6.6828005000000005e+01;1.2915457000000000e+01;1.5003935999999999e+01;1.6566526000000000e+01;1.8919390000000000e+01;2.1229524999999999e+01;2.4092220999999999e+01;2.6890129000000002e+01;2.9618057000000000e+01;3.2265121999999998e+01;3.4829768000000001e+01;3.7318778999999999e+01;3.7729930000000003e+01;3.9824854999999999e+01;4.1766550000000002e+01;2.3524885999999999e+01;2.5853166000000002e+01;2.8267961000000000e+01;3.0632747999999999e+01;3.2946254000000003e+01;3.5208193999999999e+01;3.7419142999999998e+01;3.9579014999999998e+01;4.1687846999999998e+01;4.4683677000000003e+01;4.7564529999999998e+01;5.0331322999999998e+01;5.2974646000000000e+01;5.5495260999999999e+01;5.7904615999999997e+01;6.0211813999999997e+01;6.2420535000000001e+01;6.4532979999999995e+01;6.6551874999999995e+01;6.8480476999999993e+01;7.0322443000000007e+01;7.2081575999999998e+01;7.3761678000000003e+01;7.5366241000000002e+01;7.6898320999999996e+01;7.8360708000000002e+01;7.9756202999999999e+01;8.1087688000000000e+01;8.2357985999999997e+01;8.3569764000000006e+01;8.4725556999999995e+01;8.5827791000000005e+01;8.6878820000000005e+01;8.7880926000000002e+01;8.7956389999999999e+01
1.0490120060019666e+02;2.2484212563476050e-02;2.5895336726942447e-01;5.6958826870100593e-02;4.8909046386269240e-06;4.7786013075384142e-09;6.7995771997099940e-04;1.6883390000000000e+00;3.4494189999999998e+00;5.1150659999999997e+00;6.7470850000000002e+00;8.3903789999999994e+00;1.0052815000000001e+01;1.1708708000000000e+01;1.3327947000000000e+01;1.4901808000000001e+01;1.6906448999999999e+01;1.8870132999999999e+01;2.0795666000000001e+01;2.2685001000000000e+01;2.4540517999999999e+01;2.6362282000000000e+01;2.8148709000000000e+01;2.9899471999999999e+01;3.1615843999999999e+01;3.3298943000000001e+01;3.4949159000000002e+01;3.6566695000000003e+01;3.8741754999999998e+01;4.0854920000000000e+01;4.2904977000000002e+01;4.4888770000000001e+01;4.5129201999999999e+01;8.9888890000000004e+00;1.0539844000000000e+01;1.1712213000000000e+01;1.3523122000000001e+01;1.5309543000000000e+01;1.7071380999999999e+01;1.9158487999999998e+01;2.1206714000000002e+01;2.3214214999999999e+01;2.5178882000000002e+01;2.7102806000000001e+01;2.7427232000000000e+01;2.8912609000000000e+01;3.0298248000000001e+01;1.6516238999999999e+01;1.8063994000000001e+01;1.9666955999999999e+01;2.1245016000000000e+01;2.2798587999999999e+01;2.4327866000000000e+01;2.5832965000000002e+01;2.7313905999999999e+01;2.8770738999999999e+01;3.0203607000000002e+01;3.1612788999999999e+01;3.2998551999999997e+01;3.4361072000000000e+01;3.5700544000000001e+01;3.7017161999999999e+01;3.8311152000000000e+01;3.9582777000000000e+01;4.0832298999999999e+01;4.2059950999999998e+01;4.3458801000000001e+01;4.4798054000000000e+01;4.6106803999999997e+01;4.7386391000000003e+01;4.8638629999999999e+01;4.9863748000000001e+01;5.1061776000000002e+01;5.2233280000000001e+01;5.3379162999999998e+01;5.4500098999999999e+01;5.5596510000000002e+01;5.6668852999999999e+01;5.7717711000000001e+01;5.8743668999999997e+01;5.9747221000000003e+01;5.9837401000000000e+01
