"$\alpha$";"$\beta$";"$\epsilon_e$";"$\epsilon_c$";"$d_{p}$";"$\Gamma_{p}(0)$";"$a_v$";"$\tau_c(0, 8, BC)$";"$\tau_c(250, 8, BC)$";"$\tau_c(500, 8, BC)$";"$\tau_c(750, 8, BC)$";"$\tau_c(1000, 8, BC)$";"$\tau_c(1250, 8, BC)$";"$\tau_c(1500, 8, BC)$";"$\tau_c(1750, 8, BC)$";"$\tau_c(2000, 8, BC)$";"$\tau_c(2250, 8, BC)$";"$\tau_c(2500, 8, BC)$";"$\tau_c(2750, 8, BC)$";"$\tau_c(3000, 8, BC)$";"$\tau_c(3250, 8, BC)$";"$\tau_c(3500, 8, BC)$";"$\tau_c(3750, 8, BC)$";"$\tau_c(4000, 8, BC)$";"$\tau_c(4250, 8, BC)$";"$\tau_c(4500, 8, BC)$";"$\tau_c(4750, 8, BC)$";"$\tau_c(5000, 8, BC)$";"$\tau_c(5250, 8, BC)$";"$\tau_c(5500, 8, BC)$";"$\tau_c(5750, 8, BC)$";"$\tau_c(6000, 8, BC)$";"$\tau_c(6250, 8, BC)$";"$\tau_c(6500, 8, BC)$";"$\tau_c(6750, 8, BC)$";"$\tau_c(7000, 8, BC)$";"$\tau_c(7250, 8, BC)$";"$\tau_c(7500, 8, BC)$";"$\tau_c(7750, 8, BC)$";"$\tau_c(8000, 8, BC)$";"$\tau_c(8250, 8, BC)$";"$\tau_c(8500, 8, BC)$";"$\tau_c(8750, 8, BC)$";"$\tau_c(9000, 8, BC)$";"$\tau_c(9250, 8, BC)$";"$\tau_c(9500, 8, BC)$";"$\tau_c(9750, 8, BC)$";"$\tau_c(10000, 8, BC)$";"$\tau_c(10250, 8, BC)$";"$\tau_c(10500, 8, BC)$";"$\tau_c(10750, 8, BC)$";"$\tau_c(11000, 8, BC)$";"$\tau_c(11250, 8, BC)$";"$\tau_c(11500, 8, BC)$";"$\tau_c(11750, 8, BC)$";"$\tau_c(12000, 8, BC)$";"$\tau_c(12250, 8, BC)$";"$\tau_c(12500, 8, BC)$";"$\tau_c(12750, 8, BC)$";"$\tau_c(13000, 8, BC)$";"$\tau_c(13250, 8, BC)$";"$\tau_c(13500, 8, BC)$";"$\tau_c(13750, 8, BC)$";"$\tau_c(14000, 8, BC)$";"$\tau_c(14250, 8, BC)$";"$\tau_c(14500, 8, BC)$";"$\tau_c(14750, 8, BC)$";"$\tau_c(15000, 8, BC)$";"$\tau_c(15250, 8, BC)$";"$\tau_c(15500, 8, BC)$";"$\tau_c(15750, 8, BC)$";"$\tau_c(16000, 8, BC)$";"$\tau_c(16250, 8, BC)$";"$\tau_c(16500, 8, BC)$";"$\tau_c(16750, 8, BC)$";"$\tau_c(17000, 8, BC)$";"$\tau_c(17250, 8, BC)$";"$\tau_c(17500, 8, BC)$";"$\tau_c(17750, 8, BC)$";"$\tau_c(18000, 8, BC)$";"$\tau_c(18250, 8, BC)$";"$\tau_c(18500, 8, BC)$"
1.0551579111258697e+02;2.2563721039004388e-02;4.2786209621337445e-01;1.9948224913274082e-01;6.7430930921747003e-06;4.0848681761414096e-09;6.1025044648071330e-04;2.6740629999999999e+00;5.6308990000000003e+00;8.5541610000000006e+00;1.1392270999999999e+01;1.4142182000000000e+01;1.6821130000000000e+01;1.9429234999999998e+01;2.1962146000000001e+01;2.4423884999999999e+01;2.6819828000000001e+01;2.9150074000000000e+01;3.1412946999999999e+01;3.3561307999999997e+01;3.5677698999999997e+01;3.7741382999999999e+01;3.9749135000000003e+01;4.1717635999999999e+01;4.3645834000000001e+01;4.5525827999999997e+01;4.7356231999999999e+01;4.9140447000000002e+01;5.0879641999999997e+01;5.2572816000000003e+01;5.4219898000000001e+01;5.5821955000000003e+01;5.6012504999999997e+01;1.3552249000000000e+01;1.6145538999999999e+01;1.8065805000000001e+01;2.1159471000000000e+01;2.4157018999999998e+01;2.7046900999999998e+01;2.9831243000000001e+01;3.2519278000000000e+01;3.4989372000000003e+01;3.7401159999999997e+01;3.9736091999999999e+01;4.0122852000000002e+01;4.1936743999999997e+01;4.3623927999999999e+01;2.4881095999999999e+01;2.7019359000000001e+01;2.9187833999999999e+01;3.1300605999999998e+01;3.3228448000000000e+01;3.5124440000000000e+01;3.6976796000000000e+01;3.8788651999999999e+01;4.0565297999999999e+01;4.2305103000000003e+01;4.4005693999999998e+01;4.5667904000000000e+01;4.7293194999999997e+01;4.8881669000000002e+01;5.0433103000000003e+01;5.1947977999999999e+01;5.3427038000000003e+01;5.4870742999999997e+01;5.6279426999999998e+01;5.7653574999999996e+01;5.8993777000000001e+01;6.0300593999999997e+01;6.1754240000000003e+01;6.3197355000000002e+01;6.4602207000000007e+01;6.5947913000000000e+01;6.7249793999999994e+01;6.8521940999999998e+01;6.9760339999999999e+01;7.0957566000000000e+01;7.2113560000000007e+01;7.3233061000000006e+01;7.4318370000000002e+01;7.5368790000000004e+01;7.5447664000000003e+01
1.0547234414639451e+02;2.3959836440592366e-02;2.5790910789612587e-01;1.3871540255140538e-01;4.7512799600939579e-06;4.5955856730788500e-09;8.3178611938737883e-04;4.7653670000000004e+00;1.0171564000000000e+01;1.5461698000000000e+01;2.0369268999999999e+01;2.4986024000000000e+01;2.9431609999999999e+01;3.3666348999999997e+01;3.7340622000000003e+01;4.0875917000000001e+01;4.4257530000000003e+01;4.7493046000000000e+01;5.0598275999999998e+01;5.3568198000000002e+01;5.6398521000000002e+01;5.9094487999999998e+01;6.1663688000000000e+01;6.3141385000000000e+01;6.4529572999999999e+01;6.5865880000000004e+01;6.7153925999999998e+01;6.8397452999999999e+01;6.9597206999999997e+01;7.0753872000000001e+01;7.1869175999999996e+01;7.2945273000000000e+01;7.3082911999999993e+01;1.5872636999999999e+01;2.0615327000000001e+01;2.4050509000000002e+01;2.9100368000000000e+01;3.3889802000000003e+01;3.8081180000000003e+01;4.2070932999999997e+01;4.5841481000000002e+01;4.9403540999999997e+01;5.2783242000000001e+01;5.5983348999999997e+01;5.6489874000000000e+01;5.8890974999999997e+01;6.1057943999999999e+01;3.7303691000000001e+01;4.0283085000000000e+01;4.3073624000000002e+01;4.5748313000000003e+01;4.8310330000000000e+01;5.0764999000000003e+01;5.3116889999999998e+01;5.5369487999999997e+01;5.7526359999999997e+01;5.9591419999999999e+01;6.1568314000000001e+01;6.2569268000000001e+01;6.3499457000000000e+01;6.4406583999999995e+01;6.5293234999999996e+01;6.6161182999999994e+01;6.7009692999999999e+01;6.7838505999999995e+01;6.8648375999999999e+01;6.9440312000000006e+01;7.0214714000000001e+01;7.0971678999999995e+01;7.1711541999999994e+01;7.2434856999999994e+01;7.3142098000000004e+01;7.3833582000000007e+01;7.4509614999999997e+01;7.5170573000000005e+01;7.5816846999999996e+01;7.6448779999999999e+01;7.7066686000000004e+01;7.7670883000000003e+01;7.8261698999999993e+01;7.8839451999999994e+01;7.8891952000000003e+01
9.5008610807350777e+01;2.3494934603822924e-02;3.7617678319193876e-01;4.5049121846787298e-02;3.6248605114663300e-06;3.2396118000211947e-09;5.2263528019187515e-04;2.5454580000000000e+00;5.4997199999999999e+00;8.4407859999999992e+00;1.1168730000000000e+01;1.3837603000000000e+01;1.6416045000000000e+01;1.8913233999999999e+01;2.1349563000000000e+01;2.3713446999999999e+01;2.5995277000000002e+01;2.8202179999999998e+01;3.0342032000000000e+01;3.1979481000000000e+01;3.3591445000000000e+01;3.5166134000000000e+01;3.6707870000000000e+01;3.8223399000000001e+01;3.9709791000000003e+01;4.1163634999999999e+01;4.2586084000000000e+01;4.3978861999999999e+01;4.5341383000000000e+01;4.6672809999999998e+01;4.7973702000000003e+01;4.9244951000000000e+01;4.9398245000000003e+01;1.3354282000000000e+01;1.5894622999999999e+01;1.7771491000000001e+01;2.0678732000000000e+01;2.3471587000000000e+01;2.6161078000000000e+01;2.8753036999999999e+01;3.1247326999999999e+01;3.3218898000000003e+01;3.5154001000000001e+01;3.7034582000000000e+01;3.7347391999999999e+01;3.8774372999999997e+01;4.0100302999999997e+01;2.2967659999999999e+01;2.4809898000000000e+01;2.6671537000000001e+01;2.8489424000000000e+01;3.0267558999999999e+01;3.1873926000000001e+01;3.3451813000000001e+01;3.4994889000000001e+01;3.6502184999999997e+01;3.7977514999999997e+01;3.9422220000000003e+01;4.0834924999999998e+01;4.2215442000000003e+01;4.3564984000000003e+01;4.4884332000000001e+01;4.6173557000000002e+01;4.7432938999999998e+01;4.8663063999999999e+01;4.9864437000000002e+01;5.1037407999999999e+01;5.2182333000000000e+01;5.3299717999999999e+01;5.4390025999999999e+01;5.5453696000000001e+01;5.6491188000000001e+01;5.7502999000000003e+01;5.8489587999999998e+01;5.9451441000000003e+01;6.0389035000000000e+01;6.0832340000000002e+01;6.1255248000000002e+01;6.1671764000000003e+01;6.2082661999999999e+01;6.2488551000000001e+01;6.2525548999999998e+01
1.0321199700025747e+02;2.4027128645114870e-02;2.4955916606856643e-01;1.8115790879011795e-01;3.1275640961486502e-06;7.0799371930092454e-09;1.0803022404081079e-03;1.0574259000000000e+01;2.0489781000000001e+01;2.8977125000000001e+01;3.6709189000000002e+01;4.2198425999999998e+01;4.7385711000000001e+01;5.2195877000000003e+01;5.6648831999999999e+01;6.0791925999999997e+01;6.2974570000000000e+01;6.5083727999999994e+01;6.7047779000000006e+01;6.8902845999999997e+01;7.0655980000000000e+01;7.2312683000000007e+01;7.3877848999999998e+01;7.5357235000000003e+01;7.6756254999999996e+01;7.8079621000000003e+01;7.9331558000000001e+01;8.0516202000000007e+01;8.1637555000000006e+01;8.2699307000000005e+01;8.3704841999999999e+01;8.4657353000000001e+01;8.4778339000000003e+01;1.9222701000000001e+01;2.9320011000000001e+01;3.5997027000000003e+01;4.3835920999999999e+01;4.9315097999999999e+01;5.4398068000000002e+01;5.9025198000000003e+01;6.3280287000000001e+01;6.5819215999999997e+01;6.8310508999999996e+01;7.0607490999999996e+01;7.0985416999999998e+01;7.1999403000000001e+01;7.2928690000000003e+01;4.7406351999999998e+01;5.0678899000000001e+01;5.3635016999999998e+01;5.6422730999999999e+01;5.9041837000000001e+01;6.1511175000000001e+01;6.3845900999999998e+01;6.6049546000000007e+01;6.8126102000000003e+01;7.0084433000000004e+01;7.1933205999999998e+01;7.3678060000000002e+01;7.5323952000000006e+01;7.5846395999999999e+01;7.6340891999999997e+01;7.6830588000000006e+01;7.7301963000000001e+01;7.7762663000000003e+01;7.8213193000000004e+01;7.8654259999999994e+01;7.9086476000000005e+01;7.9510244000000000e+01;7.9925647999999995e+01;8.0332565000000002e+01;8.0730974000000003e+01;8.1121065999999999e+01;8.1503157000000002e+01;8.1877583000000001e+01;8.2244613000000001e+01;8.2604417999999995e+01;8.2957097000000005e+01;8.3302740999999997e+01;8.3641479000000004e+01;8.3973489000000001e+01;8.4003687999999997e+01
9.7317603646445875e+01;2.4245984194483327e-02;2.7756561937994451e-01;1.1379494449142571e-01;2.8288666677802969e-06;4.3087637736470132e-09;5.0260870371617115e-04;3.1291859999999998e+00;6.7103250000000001e+00;1.0219865000000000e+01;1.3496643000000001e+01;1.6686596999999999e+01;1.9742996999999999e+01;2.2701653000000000e+01;2.5564979000000001e+01;2.8317637999999999e+01;3.0960733999999999e+01;3.2957242999999998e+01;3.4928891000000000e+01;3.6849518000000003e+01;3.8715294000000000e+01;4.0538302000000002e+01;4.2320357000000001e+01;4.4055219000000001e+01;4.5742063000000002e+01;4.7384613999999999e+01;4.8984171000000003e+01;5.0539492000000003e+01;5.2050542000000000e+01;5.3518832000000003e+01;5.4945473000000000e+01;5.6330812000000002e+01;5.6494925000000002e+01;1.4136886000000001e+01;1.7159298000000000e+01;1.9379579000000000e+01;2.2784897999999998e+01;2.6056812999999998e+01;2.9183160000000001e+01;3.2168373000000003e+01;3.4507263999999999e+01;3.6794770000000000e+01;3.9005490000000002e+01;4.1134784000000003e+01;4.1486781000000001e+01;4.3119898999999997e+01;4.4628664000000001e+01;2.5917424000000000e+01;2.8026786000000001e+01;3.0155284000000002e+01;3.2135137000000000e+01;3.4075043999999998e+01;3.5962662000000002e+01;3.7795113000000001e+01;3.9579956000000003e+01;4.1320366000000000e+01;4.3013939000000001e+01;4.4660186000000003e+01;4.6261536000000000e+01;4.7819626999999997e+01;4.9334569999999999e+01;5.0806840999999999e+01;5.2237732999999999e+01;5.3628394000000000e+01;5.4979515999999997e+01;5.6291829000000000e+01;5.7566302000000000e+01;5.8803904000000003e+01;6.0005471999999997e+01;6.0682771000000002e+01;6.1347268999999997e+01;6.2019067000000000e+01;6.2676769999999998e+01;6.3321544000000003e+01;6.3953747999999997e+01;6.4574015000000003e+01;6.5182319000000007e+01;6.5778710000000004e+01;6.6363440999999995e+01;6.6936841999999999e+01;6.7499135999999993e+01;6.7548506000000003e+01
1.0478110712376500e+02;2.2710139548882270e-02;3.1362586691209471e-01;1.9975777431146269e-01;4.7198404645383830e-06;3.3452326974576042e-09;2.3632104132441983e-04;2.2852630000000000e+00;4.8587870000000004e+00;7.4058430000000000e+00;9.8488290000000003e+00;1.2213336999999999e+01;1.4536095000000000e+01;1.6804787000000001e+01;1.9004864000000001e+01;2.1146518000000000e+01;2.3240409000000000e+01;2.5283328000000001e+01;2.7270783000000002e+01;2.9205325999999999e+01;3.1091017999999998e+01;3.2573512000000001e+01;3.4033268000000000e+01;3.5465369000000003e+01;3.6872239999999998e+01;3.8258218999999997e+01;3.9621259000000002e+01;4.0959319000000001e+01;4.2273197000000003e+01;4.3564267999999998e+01;4.4832452000000004e+01;4.6077280000000002e+01;4.6231501000000002e+01;1.2597530000000001e+01;1.4700581000000000e+01;1.6269666999999998e+01;1.8920349000000002e+01;2.1493328000000002e+01;2.3984911000000000e+01;2.6399379000000000e+01;2.8741613999999998e+01;3.1013141999999998e+01;3.2864254000000003e+01;3.4675268000000003e+01;3.4982301000000000e+01;3.6180999999999997e+01;3.7303666999999997e+01;2.0855073000000001e+01;2.2378185999999999e+01;2.3932120999999999e+01;2.5460674999999998e+01;2.6962264000000001e+01;2.8432959000000000e+01;2.9874972000000000e+01;3.1291207000000000e+01;3.2515270000000001e+01;3.3730403000000003e+01;3.4927354000000001e+01;3.6105114000000000e+01;3.7268062999999998e+01;3.8416877999999997e+01;3.9549264000000001e+01;4.0664751000000003e+01;4.1764482000000001e+01;4.2848832999999999e+01;4.3917309000000003e+01;4.4969794999999998e+01;4.6006675999999999e+01;4.7028179000000002e+01;4.8034267000000000e+01;4.9024971000000001e+01;5.0000484999999998e+01;5.0960990000000002e+01;5.1906595000000003e+01;5.2837412999999998e+01;5.3753602000000001e+01;5.4655324999999998e+01;5.5542726000000002e+01;5.6415953999999999e+01;5.7275170000000003e+01;5.8120536999999999e+01;5.8189427999999999e+01
1.0603759723893687e+02;2.3858124959680049e-02;3.0707117713655063e-01;2.6686610080332746e-01;9.1362546944471464e-06;3.8690757905634648e-09;8.7177239720629134e-04;2.1121430000000001e+00;4.4090069999999999e+00;6.6572209999999998e+00;8.8607519999999997e+00;1.1015961000000001e+01;1.3120768999999999e+01;1.5176078000000000e+01;1.7183306000000002e+01;1.9143484000000001e+01;2.1057417000000001e+01;2.2925965000000001e+01;2.4750111000000000e+01;2.6530922000000000e+01;2.8269485000000000e+01;2.9966858999999999e+01;3.1624054000000001e+01;3.3137107999999998e+01;3.4634301999999998e+01;3.6102063999999999e+01;3.7532829999999997e+01;3.8934221000000001e+01;4.0310616000000003e+01;4.1661026999999997e+01;4.2984493000000001e+01;4.4281643000000003e+01;4.4444543000000003e+01;1.2419305000000000e+01;1.4355342000000000e+01;1.5796805000000001e+01;1.8371006999999999e+01;2.0865390999999999e+01;2.3282838999999999e+01;2.5626355000000000e+01;2.7898886999999998e+01;3.0103028999999999e+01;3.1959997999999999e+01;3.3788862000000002e+01;3.4103433000000003e+01;3.5281955000000004e+01;3.6382747999999999e+01;2.0255583999999999e+01;2.1523624999999999e+01;2.2819928000000001e+01;2.4088882999999999e+01;2.5330894000000001e+01;2.6550514000000000e+01;2.7750693999999999e+01;2.8932227000000001e+01;3.0095503000000001e+01;3.1266722000000001e+01;3.2437410999999997e+01;3.3604444999999998e+01;3.4761631999999999e+01;3.5906332999999997e+01;3.7038286999999997e+01;3.8157079000000003e+01;3.9261873000000001e+01;4.0352055000000000e+01;4.1427379000000002e+01;4.2487760000000002e+01;4.3533143000000003e+01;4.4563509000000003e+01;4.5578885000000000e+01;4.6579331000000003e+01;4.7564929999999997e+01;4.8535783000000002e+01;4.9492007999999998e+01;5.0433734000000001e+01;5.1361100000000000e+01;5.2274247000000003e+01;5.3173321999999999e+01;5.4058477000000003e+01;5.4929867000000002e+01;5.5787650999999997e+01;5.5859513999999997e+01
9.9053761825031486e+01;2.3979568593416833e-02;2.4001849142890980e-01;2.4332826305608812e-01;5.4747162216794260e-06;4.2693608200567204e-09;5.5688076326872095e-04;3.4526430000000001e+00;7.3265820000000001e+00;1.1133806000000000e+01;1.4735855000000001e+01;1.8170470000000002e+01;2.1499025000000000e+01;2.4705693000000000e+01;2.7770153000000001e+01;3.0709211000000000e+01;3.3310222000000003e+01;3.5839565000000000e+01;3.8282480999999997e+01;4.0643732999999997e+01;4.2935851999999997e+01;4.5155419000000002e+01;4.7298136999999997e+01;4.9366371000000001e+01;5.1364134000000000e+01;5.3292284000000002e+01;5.5150810999999997e+01;5.6941324999999999e+01;5.8666141000000003e+01;6.0326957999999998e+01;6.1846901000000003e+01;6.3346404999999997e+01;6.3517924999999998e+01;1.5008250000000000e+01;1.8289486000000000e+01;2.0686135000000000e+01;2.4421754000000000e+01;2.8009770000000000e+01;3.1392817999999998e+01;3.4390852000000002e+01;3.7279052999999998e+01;4.0040635999999999e+01;4.2681632999999998e+01;4.5220711000000001e+01;4.5636687000000002e+01;4.7613140999999999e+01;4.9425483999999997e+01;2.9165825000000002e+01;3.1582829000000000e+01;3.3956522000000000e+01;3.6265706999999999e+01;3.8505172999999999e+01;4.0672469000000000e+01;4.2771977000000000e+01;4.4807091999999997e+01;4.6777807000000003e+01;4.8684465000000003e+01;5.0529049999999998e+01;5.2313526000000003e+01;5.4039057000000000e+01;5.5706789999999998e+01;5.7318274000000002e+01;5.8875103000000003e+01;6.0378667999999998e+01;6.1883761000000000e+01;6.3371810000000004e+01;6.4809785000000005e+01;6.6177042999999998e+01;6.7495953999999998e+01;6.8780063999999996e+01;7.0022349000000006e+01;7.1214359999999999e+01;7.2358260999999999e+01;7.3460498999999999e+01;7.4522898999999995e+01;7.5543907000000004e+01;7.6523497000000006e+01;7.7463897000000003e+01;7.8367185000000006e+01;7.9234251000000000e+01;8.0065776000000000e+01;8.0124386000000001e+01
1.0799767646233360e+02;2.3388508727227218e-02;4.2928320999258107e-01;1.7186719937145731e-01;6.8911728580611124e-06;6.3087773257087757e-09;9.9125451060702000e-04;4.4028280000000004e+00;9.1856010000000001e+00;1.3863519999999999e+01;1.8341515999999999e+01;2.2608526000000001e+01;2.6696335000000001e+01;3.0610447000000001e+01;3.4723745999999998e+01;3.8702469999999998e+01;4.2512233999999999e+01;4.6151392999999999e+01;4.9646945000000002e+01;5.2994078000000002e+01;5.6181179000000000e+01;5.9209707999999999e+01;6.2088051999999998e+01;6.4148062999999993e+01;6.6044207999999998e+01;6.7845933000000002e+01;6.9559951999999996e+01;7.1195753999999994e+01;7.2756033000000002e+01;7.4242349000000004e+01;7.5658310999999998e+01;7.7008658999999994e+01;7.7180566999999996e+01;1.6361353000000001e+01;2.0746575000000000e+01;2.3892706000000000e+01;2.8589520000000000e+01;3.3115257999999997e+01;3.7673161999999998e+01;4.2024813000000002e+01;4.6131934000000001e+01;4.9989182999999997e+01;5.3641446999999999e+01;5.7099179999999997e+01;5.7645128999999997e+01;6.0574095000000000e+01;6.3210251000000000e+01;3.8715378999999999e+01;4.2116014000000000e+01;4.5389282000000001e+01;4.8537585999999997e+01;5.1550049999999999e+01;5.4432636000000002e+01;5.7189276000000000e+01;5.9820726999999998e+01;6.2328505999999997e+01;6.3691786000000000e+01;6.4925929999999994e+01;6.6120056000000005e+01;6.7278141000000005e+01;6.8404484999999994e+01;6.9498383000000004e+01;7.0559316999999993e+01;7.1588544999999996e+01;7.2588020000000000e+01;7.3558846000000003e+01;7.4501458999999997e+01;7.5416522000000001e+01;7.6305064000000002e+01;7.7168070000000000e+01;7.8006283999999994e+01;7.8820375999999996e+01;7.9611086000000000e+01;8.0379181000000003e+01;8.1125366000000000e+01;8.1850285999999997e+01;8.2554574000000002e+01;8.3238865000000004e+01;8.3903774999999996e+01;8.4549886999999998e+01;8.5177761000000004e+01;8.5234601999999995e+01
1.0490120060019666e+02;2.2484212563476050e-02;2.5895336726942447e-01;5.6958826870100593e-02;4.8909046386269240e-06;4.7786013075384142e-09;6.7995771997099940e-04;3.6022829999999999e+00;7.6983519999999999e+00;1.1743012000000000e+01;1.5554259000000000e+01;1.9189277000000001e+01;2.2729247999999998e+01;2.6146646000000000e+01;2.9410644999999999e+01;3.2543894999999999e+01;3.5327005000000000e+01;3.8022379999999998e+01;4.0620012000000003e+01;4.3125546999999997e+01;4.5546210000000002e+01;4.7880695000000003e+01;5.0128393000000003e+01;5.2292470999999999e+01;5.4376412000000002e+01;5.6382173000000002e+01;5.8311425999999997e+01;6.0166646000000000e+01;6.1076186999999997e+01;6.1933622999999997e+01;6.2771433999999999e+01;6.3591531000000003e+01;6.3698433999999999e+01;1.4478510000000000e+01;1.8013016000000000e+01;2.0623366000000001e+01;2.4560323000000000e+01;2.8349988000000000e+01;3.1926126000000000e+01;3.5142270000000003e+01;3.8245396999999997e+01;4.1214582999999998e+01;4.4058756000000002e+01;4.6798563000000001e+01;4.7243391000000003e+01;4.8922018999999999e+01;5.0465071000000002e+01;2.9541239000000001e+01;3.1790488000000000e+01;3.3963020000000000e+01;3.6068913000000002e+01;3.8110129999999998e+01;4.0088937999999999e+01;4.2007758000000003e+01;4.3868189999999998e+01;4.5671860000000002e+01;4.7420625999999999e+01;4.9116306000000002e+01;5.0760508999999999e+01;5.2354779999999998e+01;5.3900686999999998e+01;5.5399755999999996e+01;5.6853406999999997e+01;5.8263012000000003e+01;5.9629930000000002e+01;6.0955499000000003e+01;6.1558669999999999e+01;6.2117781999999998e+01;6.2667807000000003e+01;6.3210003999999998e+01;6.3745556999999998e+01;6.4273899000000000e+01;6.4794573000000000e+01;6.5307772999999997e+01;6.5814008000000001e+01;6.6313461000000004e+01;6.6806027000000000e+01;6.7291700000000006e+01;6.7770658999999995e+01;6.8243095999999994e+01;6.8709090000000003e+01;6.8751638000000000e+01
